,polarity,subjectivity,pseudo_tweets_count,Close
2015-01-01,0.12719549062049065,0.27912460317460314,50,
2015-01-02,0.11245528594212803,0.3020806989063568,114,219.31
2015-01-05,0.11779829915075818,0.22254645400137194,61,210.09
2015-01-06,0.12990664845173042,0.28497238189861157,61,211.28
2015-01-07,0.11362174841527524,0.3898191094619666,56,210.95
2015-01-08,0.1801411435786436,0.41152913059163054,60,210.615
2015-01-09,0.1079633247392306,0.3009969325153375,163,206.66
2015-01-12,0.164755904634581,0.3995346373397843,170,202.21
2015-01-13,0.050941607072121795,0.30448253985937795,272,204.25
2015-01-14,0.05473490446601533,0.2399447014173042,219,192.69
2015-01-15,0.06652048211499431,0.2893800079775689,123,191.87
2015-01-16,0.07084005091414884,0.2867358042873507,194,193.07
2015-01-20,0.0837177226590492,0.27930115047461984,147,191.93
2015-01-21,0.037535603906872564,0.28230573323856895,67,196.57
2015-01-22,0.12173481134878192,0.2837102644087938,68,201.62
2015-01-23,0.09436914569016842,0.2776751702106816,176,201.29
2015-01-26,0.07535606060606061,0.26971464646464643,75,206.55
2015-01-27,-0.10318350020804005,0.49406738285572643,163,205.98
2015-01-28,-0.289983566824019,0.6317042282117663,199,199.37
2015-01-29,-0.09269153878528877,0.5176202848077851,156,205.2
2015-01-30,-0.004730346227007013,0.3749033877562103,248,203.6
2015-02-02,0.06930272108843537,0.26680753109324534,63,210.94
2015-02-03,-0.008502699407871824,0.28689872866597,58,218.36
2015-02-04,0.06312927663734115,0.23013138295396363,62,218.55
2015-02-05,0.10312659250159252,0.3545242401492401,74,220.99
2015-02-06,0.07817731242659859,0.23721491870603548,197,217.36
2015-02-09,0.037317234848484857,0.3052624708624709,100,217.48
2015-02-10,0.07276299883548402,0.3243540688437137,169,216.29
2015-02-11,0.04562491650823002,0.2709330672736254,421,212.8
2015-02-12,0.047394550103092146,0.26739090374110386,499,202.88
2015-02-13,0.11161363535072213,0.2753610678361022,726,203.77
2015-02-17,0.03436645488803762,0.26134568968202054,139,204.35
2015-02-18,0.11718211624080534,0.34269217655650575,164,204.46
2015-02-19,0.08409863560982966,0.31270060232746794,134,211.705
2015-02-20,0.1262372168893908,0.2946148217541498,253,217.11
2015-02-23,0.10593473460943342,0.3220091332139524,83,207.335
2015-02-24,0.25940485683906733,0.2889428115743905,114,204.11
2015-02-25,0.21030216942148752,0.33234877180899897,88,203.76
2015-02-26,0.06897930112215826,0.34266556195127607,70,207.19
2015-02-27,0.06611350260226667,0.3672067856197069,178,203.34
2015-03-02,0.024977179501707705,0.30514537771031286,77,197.325
2015-03-03,0.08264804027671675,0.3194020032255325,68,199.56
2015-03-04,0.08775863473444119,0.2864226946888237,93,202.435
2015-03-05,0.13758276255707763,0.32839767538397674,73,200.63
2015-03-06,0.07457120035952154,0.31171720608399434,137,193.88
2015-03-09,-0.048487072387674794,0.3572001063416724,166,190.88
2015-03-10,0.09890709922147044,0.28925515851414046,167,190.32
2015-03-11,0.12631691393827316,0.26618781434315414,103,193.74
2015-03-12,0.08136315990089577,0.2183694253859349,106,191.07
2015-03-13,0.07963748232687626,0.31439361143906597,264,188.68
2015-03-16,0.06237476808905379,0.20729822627338157,161,195.7
2015-03-17,0.029206187895212288,0.34608996468752556,123,194.73
2015-03-18,0.09021923611583307,0.32530457907421245,191,200.71
2015-03-19,0.017170862465057043,0.28295918313439244,478,195.65
2015-03-20,0.0911262785969817,0.26871714102833894,384,198.08
2015-03-23,0.06967043151883577,0.2570865954376592,94,199.63
2015-03-24,0.09046165427759471,0.24679383392686144,109,201.72
2015-03-25,0.10815254820936641,0.25347181227863047,88,194.3
2015-03-26,0.2870032904805633,0.43896051423324145,55,190.405
2015-03-27,0.09444423721193024,0.27728932797866623,136,185.0
2015-03-30,0.07545429723182007,0.33113047248368416,327,190.57
2015-03-31,0.10810691445306832,0.3531934518472978,169,188.77
2015-04-01,0.11017981014968967,0.3530120481927712,166,187.59
2015-04-02,0.14812108857441758,0.29571310456297395,383,191.0
2015-04-06,0.1332672422274695,0.3272256739472649,110,203.1
2015-04-07,0.06207425237597651,0.2636563029881996,58,203.25
2015-04-08,0.049637406675450156,0.3712370612479304,230,207.67
2015-04-09,0.05768565282454172,0.3579295100475654,108,210.09
2015-04-10,0.12810795454545457,0.3215201118326118,160,210.9
2015-04-13,0.1322253959121048,0.29220687891573965,79,209.78
2015-04-14,0.10558471191506907,0.26109482580911153,70,207.46
2015-04-15,0.041642817059483715,0.269544986906098,54,207.83
2015-04-16,0.05099874981340497,0.2639852963128825,58,206.7
2015-04-17,0.09320962318603827,0.29422125568351987,106,206.79
2015-04-20,0.06309810590238218,0.2085576683712646,228,205.27
2015-04-21,0.05316774078052273,0.22653940044917484,133,209.41
2015-04-22,0.09340903744737505,0.2536548567411968,194,219.44
2015-04-23,0.11948076568227432,0.26696609983247904,116,218.6
2015-04-24,0.08355056275674093,0.2549502275076988,261,218.425
2015-04-27,0.08881467445793745,0.25174757001055686,231,231.55
2015-04-28,0.08921277414046011,0.3407612528273686,121,230.48
2015-04-29,0.07584721437982306,0.25301268377355335,138,232.45
2015-04-30,0.06897444982266408,0.2804651581883723,364,226.05
2015-05-01,0.09446053038782579,0.26450098974442304,2113,226.03
2015-05-04,0.10240486565606761,0.26954413819798434,260,230.51
2015-05-05,0.0849574996589922,0.2552350530895307,201,232.95
2015-05-06,0.09432612232637436,0.2872479535659981,496,230.43
2015-05-07,0.07414758945550509,0.25623908046585325,409,236.8
2015-05-08,0.07759028032806957,0.35019314982361266,389,236.61
2015-05-11,0.07020894749422356,0.2835854905716867,163,239.49
2015-05-12,0.047615428248651955,0.2576831282752333,190,244.74
2015-05-13,0.05157831948990488,0.27555608348291266,123,243.18
2015-05-14,0.08555661292730256,0.29480659426780115,116,244.1
2015-05-15,0.07295986350910592,0.28168869850688033,198,248.84
2015-05-18,0.05947338247338254,0.2958493038493036,185,248.75
2015-05-19,0.04582802322288304,0.2810299254224488,107,247.14
2015-05-20,0.1223067989400537,0.3297510390552844,106,244.35
2015-05-21,0.0576912022461265,0.29914782981702165,99,245.62
2015-05-22,0.1277325254633085,0.3450184936391833,261,247.73
2015-05-26,0.16830999387817566,0.3881973140495868,66,247.455
2015-05-27,0.15145439906309469,0.2733950791559487,69,247.43
2015-05-28,0.1434677788336325,0.3189691338471827,82,251.45
2015-05-29,0.12768883551041985,0.29420429376824725,172,250.8
2015-06-01,0.03783164751914751,0.25403013653013645,104,249.45
2015-06-02,0.08910655810427145,0.20406665376177582,123,248.35
2015-06-03,0.11518764089547227,0.4080884432390456,83,248.99
2015-06-04,0.09752576788291077,0.3055885384456813,63,245.92
2015-06-05,0.11947392884892886,0.34146938919666187,143,249.14
2015-06-08,0.08234713203463206,0.26433766233766226,100,256.29
2015-06-09,0.06923811579899664,0.2215887983634097,193,256.0
2015-06-10,0.06964119003891729,0.2732530764468564,209,250.7
2015-06-11,0.079819249037999,0.2307285153118486,120,251.41
2015-06-12,0.12777685949115933,0.27944896524010443,158,250.69
